City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
cayenne,4.9333,-52.3333,83.08,81,20,1.01,GF,1634773667
kiama,-34.6833,150.8667,72.0,71,56,6.22,AU,1634773935
tacadang,16.7264,120.6405,68.54,79,37,0.76,PH,1634773935
batangafo,7.3008,18.2833,69.48,96,100,2.39,CF,1634773935
thompson,55.7435,-97.8558,35.76,41,75,4.61,CA,1634773766
richards bay,-28.783,32.0377,62.44,72,0,10.42,ZA,1634773936
san antonio,29.4241,-98.4936,82.51,69,20,6.91,US,1634773790
ormara,25.2088,64.6357,78.49,75,11,9.91,PK,1634773936
portland,45.5234,-122.6762,63.18,69,75,3.0,US,1634773336
ekhabi,53.5102,142.9671,32.16,73,31,10.6,RU,1634773937
bambanglipuro,-7.95,110.2833,80.65,80,90,5.41,ID,1634773937
provideniya,64.3833,-173.3,30.31,74,0,4.47,RU,1634773685
longyearbyen,78.2186,15.6401,13.84,62,0,6.91,SJ,1634773718
madang,-5.2246,145.7966,85.66,64,79,2.53,PG,1634773937
lubu,23.1742,112.2809,70.07,92,100,4.27,CN,1634773938
asau,46.4333,26.4,43.72,72,10,7.52,RO,1634773691
mahebourg,-20.4081,57.7,72.25,83,40,5.75,MU,1634773938
atuona,-9.8,-139.0333,77.41,80,4,16.51,PF,1634773939
cervo,43.6702,-7.4101,59.97,73,82,11.39,ES,1634773890
orlik,52.5178,99.825,24.44,63,6,3.04,RU,1634773939
kayes,14.0,-11.0,79.16,67,99,2.06,ML,1634773939
olinda,-8.0089,-34.8553,82.13,74,20,8.05,BR,1634773940
skjervoy,70.0311,20.9714,31.48,76,100,24.4,NO,1634773940
victoria,22.2855,114.1577,80.33,84,85,1.01,HK,1634773823
kapaa,22.0752,-159.319,82.18,67,1,3.0,US,1634773941
kousseri,12.0769,15.0306,80.56,65,100,8.05,CM,1634773941
fortuna,40.5982,-124.1573,65.19,70,40,5.01,US,1634773941
yumen,40.2833,97.2,37.6,31,38,7.0,CN,1634773660
severo-kurilsk,50.6789,156.125,36.54,63,79,22.37,RU,1634773644
yellowknife,62.456,-114.3525,43.41,76,20,12.66,CA,1634773942
berkak,62.825,10.0118,39.43,96,100,0.76,NO,1634773942
cabanas,22.9758,-82.9219,81.07,70,99,10.02,CU,1634773942
san fernando,15.0286,120.6898,83.14,79,41,3.58,PH,1634773943
flinders,-34.5833,150.8552,71.8,71,49,4.0,AU,1634773943
agvali,42.5385,46.1197,39.07,85,42,5.55,RU,1634773944
tuktoyaktuk,69.4541,-133.0374,26.6,86,75,5.75,CA,1634773766
bredasdorp,-34.5322,20.0403,61.29,99,89,6.08,ZA,1634773944
ust-nera,64.5667,143.2,6.51,91,99,2.28,RU,1634773944
platanos,37.6667,21.6167,61.09,80,5,3.53,GR,1634773945
alofi,-19.0595,-169.9187,80.49,61,71,18.41,NU,1634773945
nikolskoye,59.7035,30.7861,54.88,92,100,14.07,RU,1634773946
opuwo,-18.0607,13.84,64.49,44,10,1.32,NA,1634773946
fort nelson,58.8053,-122.7002,35.19,75,1,2.3,CA,1634773946
brae,60.3964,-1.353,42.71,60,82,32.73,GB,1634773947
imbituba,-28.24,-48.6703,65.82,74,100,7.83,BR,1634773947
ostrovnoy,68.0531,39.5131,31.73,72,100,16.64,RU,1634773947
eydhafushi,5.1033,73.0708,81.54,70,71,10.85,MV,1634773948
cabo san lucas,22.8909,-109.9124,86.61,73,9,7.05,MX,1634773791
bridgton,44.0548,-70.7128,55.58,84,73,2.57,US,1634773948
necochea,-38.5473,-58.7368,60.04,88,2,10.94,AR,1634773782
bela,25.9333,81.9833,70.38,69,6,5.17,IN,1634773949
brigantine,39.4101,-74.3646,68.2,69,1,4.61,US,1634773949
saint george,37.1041,-113.5841,71.94,24,1,3.0,US,1634773949
bauchi,10.5,10.0,73.49,85,92,9.01,NG,1634773950
thaba-tseka,-29.522,28.6084,49.6,45,71,4.32,LS,1634773950
albany,42.6001,-73.9662,65.05,65,74,5.73,US,1634773950
jamestown,42.097,-79.2353,63.72,63,20,8.05,US,1634773951
kulhudhuffushi,6.6221,73.07,81.46,75,100,10.51,MV,1634773951
batemans bay,-35.7167,150.1833,71.2,72,95,4.65,AU,1634773952
katsuura,35.1333,140.3,63.19,60,100,10.33,JP,1634773952
denpasar,-8.65,115.2167,82.06,88,20,3.44,ID,1634773952
lebu,-37.6167,-73.65,53.82,85,82,6.22,CL,1634773952
gorontalo,0.5412,123.0595,83.03,78,72,1.95,ID,1634773953
toccoa,34.5773,-83.3324,67.19,80,1,5.75,US,1634773686
bataipora,-22.2953,-53.2711,65.86,73,4,4.79,BR,1634773953
gat,31.61,34.7642,68.68,100,35,2.17,IL,1634773954
ulaanbaatar,47.9077,106.8832,10.53,79,0,2.24,MN,1634773809
viedma,-40.8135,-62.9967,60.12,54,0,15.95,AR,1634773827
laguna,38.421,-121.4238,71.46,42,75,0.0,US,1634773954
saint-joseph,-21.3667,55.6167,71.96,74,21,7.7,RE,1634773830
carnarvon,-24.8667,113.6333,68.07,64,90,11.5,AU,1634773954
surenavan,39.75,44.8,41.61,45,37,7.43,AM,1634773955
mar del plata,-38.0023,-57.5575,62.1,43,0,3.0,AR,1634773955
pevek,69.7008,170.3133,18.27,92,100,13.09,RU,1634773955
luderitz,-26.6481,15.1594,55.63,84,49,10.92,NA,1634773956
piacabucu,-10.4056,-36.4344,77.97,86,13,12.62,BR,1634773956
ust-maya,60.4167,134.5333,28.22,87,100,7.78,RU,1634773956
qatana,33.4354,36.0815,59.56,68,0,3.06,SY,1634773957
nome,64.5011,-165.4064,35.17,93,90,6.91,US,1634773957
vaini,-21.2,-175.2,80.76,78,20,10.36,TO,1634773957
port elizabeth,-33.918,25.5701,61.09,94,0,3.44,ZA,1634773958
vestmannaeyjar,63.4427,-20.2734,41.61,72,100,20.15,IS,1634773958
bambous virieux,-20.3428,57.7575,72.21,83,40,5.75,MU,1634773706
port alfred,-33.5906,26.891,62.55,84,34,13.65,ZA,1634773959
apatity,67.5641,33.4031,28.6,93,100,12.64,RU,1634773959
petropavlovsk-kamchatskiy,53.0452,158.6483,30.79,37,0,20.13,RU,1634773959
rajula,21.05,71.4333,73.83,68,99,6.67,IN,1634773960
saskylakh,71.9167,114.0833,12.58,96,99,5.57,RU,1634773960
tuatapere,-46.1333,167.6833,54.0,53,82,4.21,NZ,1634773711
butaritari,3.0707,172.7902,81.23,76,23,11.59,KI,1634773664
ranir bazar,23.8333,91.3667,73.9,99,97,5.06,IN,1634773960
inhambane,-23.865,35.3833,65.59,76,0,5.32,MZ,1634773961
tasiilaq,65.6145,-37.6368,32.81,43,66,10.27,GL,1634773792
champerico,14.3,-91.9167,84.34,84,100,6.29,GT,1634773961
bengkulu,-3.8004,102.2655,75.51,87,89,3.09,ID,1634773735
madimba,-10.4,40.3333,72.66,88,24,4.54,TZ,1634773962
airai,-8.9266,125.4092,74.48,43,72,1.92,TL,1634773962
labuhan,-6.8844,112.2051,81.21,76,79,6.58,ID,1634773962
ngunguru,-35.6167,174.5,60.17,97,100,19.55,NZ,1634773962
lazaro cardenas,17.9583,-102.2,82.09,80,95,3.33,MX,1634773963
chake chake,-5.2459,39.7666,73.36,90,25,6.4,TZ,1634773963
saint-augustin,51.226,-58.6502,45.1,85,100,13.96,CA,1634773794
palu,-0.8917,119.8707,81.37,86,100,0.83,ID,1634773964
cherskiy,68.75,161.3,-3.68,100,100,5.41,RU,1634773965
ahipara,-35.1667,173.1667,61.86,94,100,9.69,NZ,1634773965
port-gentil,-0.7193,8.7815,78.76,89,90,4.61,GA,1634773965
margate,51.3813,1.3862,52.3,92,100,3.0,GB,1634773828
kabompo,-13.5927,24.2008,69.66,67,99,3.51,ZM,1634773966
karasburg,-28.0167,18.75,67.98,62,85,11.95,NA,1634773966
hovd,48.0056,91.6419,30.9,47,0,2.24,MN,1634773967
hamilton,39.1834,-84.5333,65.84,67,1,6.91,US,1634773730
pyaozerskiy,65.8333,31.1667,30.04,96,100,12.48,RU,1634773967
qaanaaq,77.484,-69.3632,12.31,93,91,2.91,GL,1634773766
majene,-3.5403,118.9707,82.54,72,73,1.34,ID,1634773967
aizkraukle,56.6048,25.2553,55.89,76,100,16.08,LV,1634773968
kholtoson,50.2981,103.3097,27.28,69,1,2.84,RU,1634773968
olafsvik,64.8945,-23.7142,43.23,75,94,22.79,IS,1634773769
makueni,-1.8041,37.6203,60.69,91,76,2.17,KE,1634773969
antsohihy,-14.8796,47.9875,72.88,77,19,2.51,MG,1634773969
klaksvik,62.2266,-6.589,41.92,63,92,33.44,FO,1634773969
camacha,33.0833,-16.3333,70.56,83,40,9.22,PT,1634773969
ilulissat,69.2167,-51.1,26.62,68,100,2.3,GL,1634773677
markova,48.6758,24.4138,46.53,69,85,5.82,UA,1634773957
canyon,34.9803,-101.9188,70.02,28,0,7.74,US,1634773970
saint michael,45.21,-93.665,54.61,93,90,9.22,US,1634773970
hasaki,35.7333,140.8333,57.6,53,98,14.29,JP,1634773971
sorong,-0.8833,131.25,81.32,79,100,5.46,ID,1634773781
san jose,37.3394,-121.895,68.11,75,90,5.75,US,1634773956
dingle,10.9995,122.6711,81.1,85,84,6.2,PH,1634773843
chapleau,47.8405,-83.4034,37.49,87,90,9.22,CA,1634773972
mount gambier,-37.8333,140.7667,64.31,77,75,12.66,AU,1634773880
isangel,-19.55,169.2667,84.31,74,100,8.05,VU,1634773973
kindu,-2.95,25.95,69.26,100,100,1.57,CD,1634773973
lavrentiya,65.5833,-171.0,32.76,99,100,4.25,RU,1634773721
lucea,18.451,-78.1736,79.86,81,88,12.82,JM,1634773974
aksu,41.1231,80.2644,49.8,31,66,2.3,CN,1634773782
filadelfia,39.9523,-75.1638,69.03,66,1,5.75,US,1634773748
iqaluit,63.7506,-68.5145,31.73,80,90,4.0,CA,1634773974
tura,25.5198,90.2201,70.84,99,99,3.4,IN,1634773974
hambantota,6.1241,81.1185,75.54,100,0,2.3,LK,1634773975
clyde river,70.4692,-68.5914,28.63,86,40,11.5,CA,1634773819
san policarpo,12.1791,125.5072,82.8,77,90,4.38,PH,1634773975
lahij,13.1667,44.5833,79.2,60,85,2.57,YE,1634773975
los alamos,35.8881,-106.307,59.76,25,1,4.61,US,1634773975
quilmana,-12.95,-76.3833,65.14,82,92,5.01,PE,1634773976
codrington,-38.2667,141.9667,69.42,58,63,17.09,AU,1634773976
tra vinh,9.9347,106.3453,75.94,95,100,4.18,VN,1634773976
yazd,31.8972,54.3675,62.71,22,20,6.91,IR,1634773977
binzhou,37.3667,118.0167,51.71,75,80,5.21,CN,1634773977
mutare,-18.9707,32.6709,53.13,94,7,3.24,ZW,1634773977
buraydah,26.326,43.975,75.65,31,0,6.33,SA,1634773838
voyvozh,62.892,54.9635,25.88,95,99,4.76,RU,1634773978
tilichiki,60.4667,166.1,12.45,79,94,6.15,RU,1634773978
tefe,-3.3542,-64.7114,73.9,97,94,5.68,BR,1634773978
narsaq,60.9167,-46.05,31.53,36,0,5.12,GL,1634773830
changtu,42.7788,124.0955,40.91,50,15,1.41,CN,1634773979
gritsovskiy,54.1376,38.1604,42.49,90,100,21.54,RU,1634773979
plouzane,48.3833,-4.6167,53.92,79,75,17.27,FR,1634773979
mortka,59.3322,66.0214,34.59,80,100,7.74,RU,1634773980
akureyri,65.6835,-18.0878,24.73,80,0,2.3,IS,1634773902
ixtapa,20.7,-105.2,80.92,92,34,2.35,MX,1634773909
abu zabad,12.35,29.25,81.54,51,69,10.18,SD,1634773980
torbay,47.6666,-52.7314,48.97,96,90,11.5,CA,1634773981
benguela,-12.5763,13.4055,74.44,82,100,5.21,AO,1634773981
mecca,21.4267,39.8261,81.1,48,2,3.04,SA,1634773982
odessa,46.4775,30.7326,53.53,87,0,15.66,UA,1634773982
mitu,1.1983,-70.1733,72.34,97,99,2.42,CO,1634773801
vasilsursk,56.1275,46.0072,33.42,70,100,12.95,RU,1634773983
linfen,36.0889,111.5189,48.63,77,11,1.9,CN,1634773983
akdepe,42.0551,59.3788,48.29,63,60,12.5,TM,1634773983
faanui,-16.4833,-151.75,78.93,80,25,8.72,PF,1634773984
guadalupe y calvo,26.1,-106.9667,59.92,58,61,4.12,MX,1634773984
bijie,27.3125,105.2942,46.54,92,100,4.32,CN,1634773984
coihaique,-45.5752,-72.0662,49.95,57,40,3.44,CL,1634773985
mildura,-34.2,142.15,80.08,29,47,17.27,AU,1634773985
ust-kuyga,70.0167,135.6,9.16,96,100,4.76,RU,1634773985
chelno-vershiny,54.4333,51.1,28.67,94,39,6.04,RU,1634773986
bereda,43.2686,-7.5406,57.42,100,96,2.04,ES,1634773923
kargasok,59.0556,80.8572,36.79,88,62,7.4,RU,1634774007
bandarbeyla,9.4942,50.8122,76.23,85,35,6.31,SO,1634773918
castro,-24.7911,-50.0119,51.53,93,71,8.23,BR,1634774008
riyadh,24.6877,46.7219,73.54,24,0,5.55,SA,1634773802
obo,5.3998,26.4869,68.9,96,100,3.09,CF,1634774008
walvis bay,-22.9575,14.5053,59.95,77,39,5.75,NA,1634774008
mogadishu,2.0371,45.3438,78.39,82,81,11.45,SO,1634774009
innisfail,-17.5333,146.0333,92.88,67,66,10.45,AU,1634774009
kemi,65.8596,24.8228,29.97,100,90,6.91,FI,1634774009
axim,4.8699,-2.2405,77.88,87,80,9.04,GH,1634774009
sao jose da coroa grande,-8.8978,-35.1478,77.34,86,10,9.51,BR,1634773800
bubaque,11.2833,-15.8333,82.18,78,97,10.96,GW,1634773806
bahar,34.9072,48.4414,48.94,67,53,4.03,IR,1634774010
pangody,65.85,74.4859,30.25,87,100,3.8,RU,1634774010
dossor,47.5272,52.9811,37.15,64,48,11.18,KZ,1634774010
caravelas,-17.7125,-39.2481,71.22,90,100,15.39,BR,1634773816
tongliao,43.6125,122.2653,41.13,44,12,0.65,CN,1634774011
mbini,1.574,9.6134,76.3,89,99,4.79,GQ,1634774011
solnechnyy,50.7214,136.6319,30.0,61,21,3.87,RU,1634774012
marzuq,14.4,46.4667,72.97,55,89,1.54,YE,1634774012
calvinia,-31.4707,19.776,63.64,70,82,8.34,ZA,1634774012
pelym,61.0108,61.9978,28.6,83,40,4.21,RU,1634774013
beitbridge,-22.2167,30.0,65.73,58,1,3.22,ZW,1634774013
mutsu,41.2894,141.2169,54.0,70,48,15.43,JP,1634774013
maracacume,-2.0428,-45.9592,74.57,91,63,3.42,BR,1634774013
ciudad bolivar,8.1222,-63.5497,83.53,51,54,10.58,VE,1634774014
jijiang,29.2906,106.2542,61.36,93,100,2.39,CN,1634774014
bardiyah,31.7561,25.0865,66.94,72,14,7.11,LY,1634774014
beringovskiy,63.05,179.3167,18.52,73,50,4.38,RU,1634774015
kappeln,54.6612,9.9313,57.11,85,64,23.06,DE,1634774015
ribeira grande,38.5167,-28.7,70.0,65,73,4.79,PT,1634774015
keelung,25.1283,121.7419,75.09,89,100,12.21,TW,1634774016
jiayuguan,39.8167,98.3,36.59,34,27,3.6,CN,1634774016
zheleznodorozhnyy,55.7503,38.0042,45.21,91,100,15.5,RU,1634773834
waddan,29.1614,16.139,65.86,56,26,7.58,LY,1634774016
santa marta,11.2408,-74.199,78.35,82,46,9.75,CO,1634773952
nunoa,-14.48,-70.6411,50.14,57,100,4.32,PE,1634774017
hualmay,-11.0964,-77.6139,64.42,84,71,10.8,PE,1634774017
tahta,26.7693,31.5021,73.72,51,18,13.2,EG,1634774017
kastamonu,41.5,33.6667,37.62,91,0,1.34,TR,1634774018
miri,4.4148,114.0089,73.54,100,40,3.44,MY,1634774018
worcester,42.3334,-71.8328,61.07,82,79,6.69,US,1634774018
touros,-5.1989,-35.4608,81.5,82,96,8.88,BR,1634774019
changji,44.0167,87.3167,45.39,49,0,4.47,CN,1634774019
vera cruz,-12.6333,-41.0333,76.93,63,83,1.16,BR,1634774019
yaan,7.3833,8.5667,70.63,90,92,1.32,NG,1634774020
rundu,-17.9333,19.7667,71.91,65,100,3.98,NA,1634774020
korla,41.7597,86.1469,50.76,28,44,1.61,CN,1634774020
constantine,36.365,6.6147,56.61,54,0,2.3,DZ,1634773978
lompoc,34.6391,-120.4579,73.69,63,1,13.8,US,1634773732
karratha,-20.7377,116.8463,77.25,30,1,9.57,AU,1634774021
severnoye,56.3491,78.3619,39.76,70,94,8.23,RU,1634774021
nhulunbuy,-12.2333,136.7667,86.61,66,20,11.5,AU,1634774021
hami,42.8,93.45,54.77,20,99,8.59,CN,1634773760
nouadhibou,20.931,-17.0347,76.98,53,0,14.97,MR,1634774022
makakilo city,21.3469,-158.0858,83.61,45,1,6.91,US,1634774022
coquimbo,-29.9533,-71.3436,56.93,82,20,10.36,CL,1634774022
christchurch,-43.5333,172.6333,60.33,51,80,6.91,NZ,1634774017
severnyy,50.677,36.5532,46.44,66,0,11.18,RU,1634774023
sheregesh,52.9209,87.9869,33.8,71,10,3.49,RU,1634774023
santa cruz,-17.8,-63.1667,84.25,37,44,4.61,BO,1634773761
afonso claudio,-20.0742,-41.1239,62.33,95,100,4.94,BR,1634774023
shelopugino,51.6514,117.5599,24.17,87,27,1.9,RU,1634774024
vostok,46.4856,135.8833,28.06,54,5,1.9,RU,1634774024
bethel,41.3712,-73.414,67.66,77,49,4.23,US,1634774024
manicore,-5.8092,-61.3003,80.35,74,71,1.03,BR,1634774025
george town,5.4112,100.3354,76.93,94,40,5.01,MY,1634773926
ovalle,-30.5983,-71.2003,60.58,59,0,3.83,CL,1634774025
toamasina,-18.1667,49.3833,68.0,94,40,3.44,MG,1634774026
soller,39.7662,2.7152,61.86,84,99,3.74,ES,1634774026
talnakh,69.4865,88.3972,23.85,95,99,13.56,RU,1634774026
juba,4.8517,31.5825,70.68,93,98,1.63,SS,1634774026
havoysund,70.9963,24.6622,29.28,65,100,30.13,NO,1634774027
sur,22.5667,59.5289,77.9,69,75,10.6,OM,1634774027
ketchikan,55.3422,-131.6461,44.08,95,100,5.88,US,1634774028
talara,-4.5772,-81.2719,65.16,82,40,13.8,PE,1634774028
neiafu,-18.65,-173.9833,81.28,54,20,9.22,TO,1634774028
sokoni,-6.4333,39.55,76.84,79,53,9.84,TZ,1634774028
aklavik,68.2191,-135.0107,27.43,82,99,7.23,CA,1634774029
mizan teferi,6.9833,35.5833,64.9,60,96,2.57,ET,1634774029
saldanha,-33.0117,17.9442,59.05,90,71,21.65,ZA,1634774029
kosa,59.9445,54.9977,27.1,95,38,3.02,RU,1634774030
kimbe,-5.5502,150.1429,84.52,73,59,1.28,PG,1634774030
sitka,57.0531,-135.33,53.49,58,90,17.27,US,1634773871
blyth,55.1271,-1.5086,45.09,92,40,1.99,GB,1634774030
riverton,40.5219,-111.9391,61.72,42,1,1.99,US,1634774031
leninsk,48.7119,45.1994,31.86,70,49,8.21,RU,1634774031
kenai,60.5544,-151.2583,45.09,84,75,9.22,US,1634774031
chegdomyn,51.1167,133.0167,25.32,78,61,0.72,RU,1634774032
czersk,53.7959,17.9765,61.56,75,100,14.74,PL,1634774032
vao,-22.6667,167.4833,70.43,94,100,14.94,NC,1634773872
peniche,39.3558,-9.3811,66.61,93,4,9.84,PT,1634773845
broome,42.2506,-75.833,60.98,83,55,2.35,US,1634774033
kruisfontein,-34.0033,24.7314,62.17,62,57,3.83,ZA,1634773833
esperance,-33.8667,121.9,60.64,65,8,19.08,AU,1634774033
lagoa,39.05,-27.9833,68.65,62,49,0.72,PT,1634774033
souillac,-20.5167,57.5167,72.36,83,40,5.75,MU,1634774034
guerrero negro,27.9769,-114.0611,67.96,68,56,13.6,MX,1634773786
wuwei,37.9281,102.6414,39.31,48,1,1.61,CN,1634774034
sarkand,45.41,79.9186,56.01,24,100,3.96,KZ,1634774035
chuy,-33.6971,-53.4616,55.98,75,48,7.92,UY,1634773781
micheweni,-4.9667,39.8333,75.13,86,62,7.9,TZ,1634774035
port macquarie,-31.4333,152.9167,68.9,65,81,3.76,AU,1634773782
saint-leu,-21.15,55.2833,72.43,87,65,1.99,RE,1634774035
tunceli,39.1083,39.5471,48.38,50,7,5.32,TR,1634774036
cidreira,-30.1811,-50.2056,63.19,69,93,16.75,BR,1634774036
arlit,18.7369,7.3853,86.67,12,43,8.7,NE,1634774036
half moon bay,37.4636,-122.4286,68.05,79,90,1.01,US,1634773763
juan lacaze,-34.4342,-57.4381,62.98,73,16,11.1,UY,1634774037
derzhavinsk,51.1,66.3167,42.46,63,82,18.68,KZ,1634774037
taixing,32.1667,120.0136,54.91,72,60,9.8,CN,1634774038
chara,56.9064,118.2631,27.37,75,61,3.74,RU,1634774038
sobolevo,54.4299,31.8996,48.6,80,100,17.11,RU,1634774038
homer,59.6425,-151.5483,44.76,87,95,3.0,US,1634774038
kardamaina,36.7814,27.1425,55.35,58,51,14.12,GR,1634774039
muttupet,10.4,79.4833,80.29,79,77,6.58,IN,1634774039
bathsheba,13.2167,-59.5167,83.01,78,40,21.85,BB,1634774039
lethem,3.3803,-59.7968,78.21,80,61,6.98,GY,1634774040
itoman,26.1247,127.6694,78.82,72,75,11.5,JP,1634774040
mehamn,71.0357,27.8492,34.14,58,100,25.03,NO,1634774040
grobina,56.5352,21.1678,58.86,88,90,23.02,LV,1634774041
sungairaya,0.7,108.9,78.96,83,100,1.86,ID,1634774041
praia,14.9215,-23.5087,81.14,54,0,19.57,CV,1634773900
lucapa,-8.4192,20.7447,66.63,97,91,3.09,AO,1634774042
norman wells,65.282,-126.8329,37.44,65,75,10.36,CA,1634774042
yerbogachen,61.2767,108.0108,34.77,90,100,9.71,RU,1634774043
ambon,-3.6954,128.1814,86.14,84,20,3.44,ID,1634774043
svencionys,55.15,26.1667,54.9,73,100,15.28,LT,1634774044
edgewater,28.9889,-80.9023,77.09,62,76,7.94,US,1634773795
launceston,-41.45,147.1667,66.61,65,40,7.0,AU,1634774044
tecpan,14.7623,-90.9947,58.32,95,98,0.31,GT,1634774045
luanda,-8.8368,13.2343,75.2,88,75,4.61,AO,1634774045
saint-pierre,-21.3393,55.4781,73.04,68,90,6.91,RE,1634773812
dzhebariki-khaya,62.2167,135.8,22.69,92,100,1.9,RU,1634774045
huarmey,-10.0681,-78.1522,64.98,86,81,10.63,PE,1634774046
ballina,-28.8667,153.5667,66.78,93,75,3.44,AU,1634773813
oranjemund,-28.55,16.4333,58.08,81,40,6.13,NA,1634774046
aanekoski,62.6946,25.818,50.07,95,100,9.6,FI,1634774046
okha,53.5739,142.9478,33.01,74,48,11.39,RU,1634774047
khair,27.95,77.8333,71.01,52,0,5.06,IN,1634774047
cockburn town,21.4612,-71.1419,82.36,78,75,9.22,TC,1634774047
escarcega,18.6089,-90.7454,74.17,97,97,3.44,MX,1634774048
palafrugell,41.9174,3.1631,68.56,69,61,4.0,ES,1634773999
kahului,20.8947,-156.47,83.46,69,0,11.99,US,1634774048
komsomolskiy,40.4272,71.7189,56.12,44,92,9.22,UZ,1634774049
quibor,9.9287,-69.6201,76.17,81,68,3.04,VE,1634774049
la ronge,55.1001,-105.2842,43.05,49,40,6.91,CA,1634773797
palm coast,29.585,-81.2078,77.07,60,89,5.01,US,1634773793
olavarria,-36.8927,-60.3225,59.4,76,2,9.06,AR,1634773843
san cristobal,7.7669,-72.225,71.78,93,14,2.04,VE,1634774050
vila franca do campo,37.7167,-25.4333,61.21,73,44,1.92,PT,1634774050
quatre cocos,-20.2078,57.7625,72.09,82,47,7.65,MU,1634774050
lata,40.1629,-8.3327,61.81,98,30,1.52,PT,1634774051
balabac,7.9868,117.0645,81.45,79,98,6.58,PH,1634774051
paracuru,-3.41,-39.0306,81.1,80,96,8.21,BR,1634774051
janow lubelski,50.707,22.4104,57.22,55,98,15.73,PL,1634774052
kalanguy,51.0167,116.5167,23.97,86,6,2.04,RU,1634774052
beira,-19.8436,34.8389,71.69,78,20,5.99,MZ,1634774052
mazeikiai,56.3167,22.3333,57.02,81,100,19.08,LT,1634774053
rock sound,24.9,-76.2,80.91,71,68,22.28,BS,1634774053
bilibino,68.0546,166.4372,3.58,93,100,2.51,RU,1634774054
asfi,32.2994,-9.2372,67.98,95,75,7.65,MA,1634774054
port blair,11.6667,92.75,77.04,88,40,0.0,IN,1634773767
visnes,59.3556,5.2242,47.82,71,90,20.71,NO,1634774054
adamantina,-21.6853,-51.0725,71.35,63,0,14.47,BR,1634774055
